ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid,benefit
Watermelon Extract,Citrullus Lanatus Fruit Extract,Beneficial,Safe,Rich in lycopene and citrulline. Antioxidant and hydrating. Safe for all skin types.,none,"soothing, hydration"
Pomegranate Extract,Punica Granatum Extract,Beneficial,Safe,"Rich in punicalagin and ellagic acid. Antioxidant, anti-inflammatory, and brightening. Safe for most skin types.",none,"soothing, antioxidant"
Sea Buckthorn Extract,Hippophae Rhamnoides Extract,Beneficial,Caution,"Rich in vitamins, omega fatty acids, and carotenoids. Highly nutritive but can tint skin orange at high concentrations.",none,"anti-aging, brightening"
Noni Extract,Morinda Citrifolia Fruit Extract,Beneficial,Safe,Antioxidant and soothing. Anti-ageing properties. Generally safe.,none,"anti-aging, brightening"
Turmeric,Curcuma Longa Root Extract,Beneficial,Caution,Potent anti-inflammatory. Can cause temporary skin yellowing and may stain clothing. Generally safe at low concentrations.,none,"brightening, soothing"
Retinol Derivatives,"Retinyl Palmitate, Retinyl Acetate, Retinyl Linoleate",Retinoid,Safe,Ester forms of vitamin A converted to retinol in skin. Gentler than retinol but less potent. Good for beginners.,pregnancy,anti-aging
Mica,"CI 77019, Potassium Aluminium Silicate",Beneficial,Safe,Natural mineral used to add shimmer and glow to cosmetics. Non-irritating and safe for most skin types.,none,none
Xanthan Gum,,Beneficial,Safe,Natural thickener and stabiliser. Derived from fermentation. Non-irritating and safe for all skin types.,none,none
Carbomer,"Polyacrylic Acid, Carbopol",Beneficial,Safe,Synthetic thickener and gel-forming agent. Generally safe and non-irritating at cosmetic concentrations.,none,none
Hydroxyethylcellulose,HEC,Beneficial,Safe,Natural-derived thickener from cellulose. Non-irritating and safe. Used to give products a gel texture.,none,none
Sodium Hyaluronate,"Hyaluronic Acid Sodium Salt, Kopuron, Hydrolyzed Sodium Hyaluronate, Sodium Acetylated Hyaluronate",Beneficial,Safe,Sodium salt of hyaluronic acid. Penetrates skin more easily than high molecular weight HA. Key hydrating ingredient.,none,hydration
Polyglyceryl Esters,"Polyglyceryl-3 Methylglucose Distearate, Polyglyceryl-6 Distearate",Beneficial,Safe,Gentle emulsifiers derived from plant glycerin. Well tolerated by sensitive skin. Good alternative to ethoxylated emulsifiers.,none,none
Lecithin,"Soy Lecithin, Sunflower Lecithin, Phosphatidylcholine",Beneficial,Safe,Natural emulsifier from plants. Strengthens the skin barrier and has excellent hydrating properties. Generally safe.,none,barrier repair
Linoleic Acid,Omega-6,Beneficial,Safe,Essential fatty acid that the body cannot produce. Deficiency linked to acne. Topical application helps restore barrier and reduce breakouts.,none,barrier repair
Sodium Ascorbate,Vitamin C Salt,Antioxidant,Safe,"Stable, gentle form of vitamin C. Less irritating than ascorbic acid. Effective antioxidant and brightener.",none,"antioxidant, brightening"
Dipotassium Glycyrrhizate,,Beneficial,Safe,Derived from licorice root. Potent anti-inflammatory and soothing agent. Suitable for sensitive and rosacea-prone skin.,none,"brightening, soothing"
Chlorella Extract,Chlorella Vulgaris Extract,Beneficial,Safe,"Freshwater algae rich in proteins, vitamins, and minerals. Antioxidant and detoxifying. Generally safe.",none,"soothing, brightening"
Mushroom Extract (Reishi),Ganoderma Lucidum Extract,Beneficial,Safe,Adaptogenic mushroom with antioxidant and anti-inflammatory properties. Supports the skin barrier.,none,"soothing, anti-aging"
Malachite Extract,,Antioxidant,Safe,Mineral-derived antioxidant that protects against environmental pollutants. Strengthens skin's natural defences.,none,"antioxidant, brightening"
Bakuchiol,Psoralea Corylifolia Seed Extract,Beneficial,Safe,Plant-derived retinol alternative from Psoralea corylifolia. Studies show comparable results to retinol with significantly less irritation. Safe during pregnancy.,none,"anti-aging, acne fighting, antioxidant"
Snow Mushroom,Tremella Fuciformis Sporocarp Extract,Beneficial,Safe,Holds more water than hyaluronic acid. Traditional Asian beauty ingredient with excellent hydrating and brightening properties.,none,hydration
Saccharomyces Ferment,"Yeast Extract, Saccharomyces Cerevisiae Extract",Beneficial,Safe,"Fermented yeast extract rich in amino acids, vitamins, and minerals. Brightening and skin-strengthening.",none,"barrier repair, brightening"
Galactomyces Ferment Filtrate,"Galactomyces, GFF",Beneficial,Safe,"Fermented ingredient that brightens, refines pores, and balances oil. Key ingredient in many Korean skincare products.",none,"brightening, hydration"
Bifida Ferment Lysate,,Beneficial,Safe,Fermented probiotic ingredient that strengthens the skin barrier and has anti-ageing properties.,none,"soothing, barrier repair"
Sodium Lauroyl Glutamate,,Beneficial,Safe,Amino acid-derived gentle surfactant. Very mild cleanser suitable for sensitive and baby skin.,none,none
Cocamidopropyl Betaine,"Cocoamidopropyl Betaine, Cocoamido propyl Betaine, CAPB, Cocoyl Amide Propyldimethyl Glycine, Cocamidopropyl Dimethyl Glycine",Beneficial,Caution,Amphoteric surfactant that reduces irritation of other surfactants. Generally mild but can cause contact dermatitis in some individuals.,"sensitive, eczema",none
Decyl Glucoside,,Beneficial,Safe,Very gentle non-ionic surfactant derived from glucose and coconut. Suitable for sensitive and baby skin.,none,none
Coco Glucoside,,Beneficial,Safe,Gentle surfactant derived from coconut and fruit sugars. Mild and suitable for sensitive skin. Biodegradable.,none,none
Water ,"Aqua, Water/Aqua, Purified Water, Deionized Water, Distilled Water",Beneficial,Safe,The base of most skincare formulations. Acts as a solvent for other ingredients. Completely safe for all skin types.,none,none
Zinc PCA,"Zinc, L-Pyrrolidone Carboxylic Acid Zinc Salt",Beneficial,Safe,"Zinc salt of PCA. Regulates sebum production, has antimicrobial properties. Beneficial for oily and acne-prone skin.",none,"oil control, acne fighting"
Polysorbate 20,"Polysorbate-20, POE 20 Sorbitan Monolaurate, Tween 20",Preservatives,Caution,Emulsifier and solubilizer commonly used in toners and mists. Generally safe but can cause irritation in sensitive individuals with prolonged use.,sensitive,none
Octocrylene,"2-Ethylhexyl 2-Cyano-3,3-Diphenyl Acrylate",Harmful Chemicals,Caution,Chemical UV filter used in sunscreens. Can cause contact allergies in sensitive individuals. May degrade into benzophenone over time which is a potential endocrine disruptor.,sensitive,uv protection
Octyl Salicylate,"Octisalate, 2-Ethylhexyl Salicylate",Harmful Chemicals,Caution,Chemical UV filter used in sunscreens. Weak UVB absorber. Can cause irritation in sensitive skin. Avoid if you have salicylate sensitivity.,sensitive,uv protection
Disodium EDTA,"EDTA, Disodium Ethylenediaminetetraacetate, Ethylenediaminetetraacetic Acid",Preservatives,Caution,Chelating agent that binds metal ions and prevents product spoilage. Generally safe in rinse-off products. Can enhance penetration of other ingredients � concern if used with harmful actives.,sensitive,none
Coco-Glucoside,"Coco Glucoside, Coconut Glucoside",Beneficial,Safe,Gentle plant-derived surfactant made from coconut oil and fruit sugars. One of the mildest cleansing agents available. Safe for all skin types including sensitive and baby skin.,none,none
Methylpropanediol,"MPD, 2-Methyl-1,3-Propanediol",Beneficial,Safe,Humectant and solvent that helps other ingredients penetrate skin. Enhances absorption of actives. Generally well tolerated but can cause mild irritation at high concentrations.,none,hydration
Sodium Cocoyl Glycinate,"Cocoyl Glycinate, Sodium N-Cocoyl Glycinate",Beneficial,Safe,Amino acid based surfactant derived from coconut oil and glycine. Very gentle cleanser that maintains skin's natural pH. Suitable for sensitive and dry skin.,none,none
Camellia Extract,"Camellia Sinensis Extract, Green Tea Extract, White Tea Extract, Camellia Oleifera Extract",Beneficial,Safe,"Antioxidant rich plant extract from the tea plant. Protects against free radical damage, soothes inflammation, and has mild antimicrobial properties. Safe for all skin types.",none,"soothing, antioxidant"
Almond Oil,"Sweet Almond Oil, Prunus Amygdalus Dulcis Oil, Prunus Dulcis Oil",Beneficial,Caution,Emollient oil rich in fatty acids and Vitamin E. Moisturising and soothing. Can clog pores for acne-prone skin. Avoid if you have a nut allergy.,acne-prone,"barrier repair, hydration"
Oats Extract,"Colloidal Oatmeal, Avena Sativa Extract, Oat Extract, Avena Sativa Kernel Extract",Beneficial,Safe,"Soothing and anti-inflammatory extract from oats. Relieves itching, reduces redness, and strengthens the skin barrier. Excellent for sensitive, dry, and eczema-prone skin.",none,"soothing, barrier repair"
Caprylic/Capric Triglyceride,"Caprylic Capric Triglyceride, MCT Oil, Fractionated Coconut Oil, C8-C10 Triglycerides",Beneficial,Safe,"Lightweight emollient derived from coconut oil. Excellent skin feel, non-greasy, and helps other ingredients absorb. Safe for all skin types including acne-prone.",none,barrier repair
Cetearyl Olivate,"Olivem 1000, Cetearyl Olivate & Sorbitan Olivate",Beneficial,Safe,"Plant-derived emulsifier system from olive oil. Mimics skin's natural lipid structure, enhances moisture retention. Exceptionally gentle and suitable for all skin types.",none,barrier repair
Coco-Caprylate/Caprate,"Coco Caprylate, Coco Caprate, Coco-Caprylate",Beneficial,Safe,"Lightweight emollient derived from coconut oil. Provides a dry, silky skin feel without greasiness. Non-comedogenic and suitable for all skin types.",none,barrier repair
Sodium Citrate,"Trisodium Citrate, Citric Acid Sodium Salt",Beneficial,Safe,pH adjuster and buffering agent derived from citric acid. Helps maintain product stability and skin's natural pH. Safe for all skin types.,none,none
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"Simulgel NS, Aristoflex AVC, Sodium Acryloyldimethyl Taurate Copolymer",Beneficial,Safe,Synthetic polymer used as a thickener and emulsifier. Creates a lightweight gel texture. Non-comedogenic and well tolerated by all skin types including sensitive.,none,none
Acrylates Copolymer,"Acrylic Acid Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer",Beneficial,Safe,Synthetic polymer used as a film former and thickener. Helps products spread evenly on skin. Generally safe but may cause irritation in very sensitive individuals.,none,none
Styrene/Acrylates Copolymer,Styrene Acrylates Copolymer,Caution,Caution,Synthetic film-forming polymer. Used to improve texture and wear of products. Limited safety data available. Some concerns around styrene as a potential irritant at high concentrations.,sensitive,none
Polyurethane-100,"Polyurethane, Plastic Polymer",Beneficial,Safe,Synthetic polymer used as a film former and thickener in sunscreens. Helps create water resistant formulations. Considered safe at concentrations used in cosmetics.,none,none
Nylon-12,"Polyamide-12, Nylon Powder",Caution,Caution,Synthetic polymer used as a texture enhancer and slip agent. Creates a smooth skin feel. Microplastic concern � environmental issue. Generally safe for skin but avoid if concerned about microplastics.,none,none
Tapioca Starch,"Cassava Starch, Manihot Esculenta Root Starch",Beneficial,Safe,"Natural thickener and absorbent derived from cassava root. Gives products a silky, powdery finish. Absorbs excess oil. Safe for all skin types.",none,oil control
Saccharide Isomerate,"Pentavitin, Carbohydrate Complex",Beneficial,Safe,Biomimetic humectant derived from plant sugars. Binds to skin keratin and provides long-lasting hydration up to 72 hours. Suitable for all skin types including sensitive.,none,hydration
Octyldodecanol,"2-Octyldodecanol, Eutanol G",Beneficial,Caution,Fatty alcohol used as emollient and thickener. Gives products a rich texture. Can be comedogenic for acne-prone skin at high concentrations.,acne-prone,none
Rice Extract,"Oryza Sativa Extract, Oryza Sativa (Rice) Extract, Rice Bran Extract",Beneficial,Safe,"Antioxidant-rich extract from rice. Brightens skin tone, reduces hyperpigmentation, and provides mild UV protection. Safe for all skin types.",none,brightening
Rice Ferment Filtrate,"Sake, Fermented Rice Water, Rice Ferment Filtrate (Sake), Pitera",Beneficial,Safe,"Fermented rice water rich in vitamins, minerals, and amino acids. Brightens skin, improves texture, and boosts hydration. Safe for all skin types.",none,"brightening, hydration"
White Lotus Extract,"Nelumbo Nucifera Extract, Lotus Extract, Sacred Lotus Extract",Beneficial,Safe,Antioxidant and soothing extract from the white lotus flower. Helps brighten skin and reduce inflammation. Safe for all skin types.,none,"soothing, brightening"
Triheptanoin,"Caprylic/Capric Triglyceride Alternative, C7 Triglyceride",Beneficial,Safe,Lightweight synthetic emollient. Restores skin barrier function and provides excellent skin feel without greasiness. Non-comedogenic and suitable for all skin types.,none,barrier repair
Dicaprylyl Carbonate,Cetiol CC,Beneficial,Safe,"Lightweight emollient ester. Provides a dry, non-greasy skin feel. Enhances spreadability of products. Non-comedogenic and suitable for all skin types.",none,barrier repair
C9-12 Alkane,"C9-12 Alkanes, Undecane, Tridecane",Beneficial,Safe,"Lightweight hydrocarbon emollient. Provides a clean, non-greasy skin feel. Biodegradable alternative to silicones. Safe for all skin types including acne-prone.",none,barrier repair
PEG-100 Stearate,"Polyethylene Glycol Stearate, PEG Stearate",Caution,Caution,"PEG-based emulsifier. Generally safe but may be contaminated with 1,4-dioxane during manufacturing � a potential carcinogen. Avoid if sensitive or concerned about PEG compounds.",sensitive,none
Neopentyl Glycol Diheptanoate,Eldew SL-205,Beneficial,Safe,"Lightweight synthetic emollient ester. Provides a silky, non-greasy skin feel. Non-comedogenic and suitable for all skin types including oily and acne-prone.",none,barrier repair
Olive Oil PEG-7 Esters,"PEG-7 Olive Oil, Olivem 300",Beneficial,Caution,PEG-modified olive oil used as emollient and emulsifier. Gentle and moisturising. Contains PEG which may cause sensitivity in some individuals.,sensitive,barrier repair
Trisodium Ethylenediamine Disuccinate,"TEDS, Dissolvine GL-47-S",Beneficial,Safe,Biodegradable chelating agent used as a greener alternative to EDTA. Prevents product oxidation and extends shelf life. Safe for all skin types.,none,none
Capryloyl/Caproyl Methyl Glucamide,"Tego Amid S 18, Amino Acid Surfactant",Beneficial,Safe,Mild sugar-based surfactant. Gentle cleanser that maintains skin's natural pH and moisture levels. Suitable for sensitive and dry skin.,none,none
Lauroyl/Myristoyl Methyl Glucamide,Amino Acid Surfactant Blend,Beneficial,Safe,Mild amino acid based surfactant blend. Gentle cleansing with good foam and skin feel. Safe for sensitive and dry skin types.,none,none
Tretinoin,"Retinoic Acid, All-Trans Retinoic Acid, Vitamin A Acid",Retinoid,Caution,"Prescription-strength retinoid. Most effective retinoid for anti-aging and acne but causes significant irritation, dryness, and purging especially in early use. Avoid during pregnancy. Always use SPF when using tretinoin.","sensitive, dry","anti-aging, acne fighting"
Adapalene,"Differin, Adapalene Gel",Retinoid,Caution,Third generation retinoid. More stable and less irritating than tretinoin. Effective for acne and early anti-aging. Available OTC in some countries. Avoid during pregnancy.,"sensitive, dry","anti-aging, acne fighting"
Benzoyl Peroxide,"BPO, Benzoylis Peroxydum",Harmful Chemical,Caution,"Powerful antibacterial agent that kills acne-causing bacteria. Very effective for inflammatory acne but causes significant dryness, irritation, and bleaches fabric. Start with low concentrations (2.5%).","sensitive, dry",acne fighting
Chlorhexidine,"Chlorhexidine Gluconate, CHG",Preservatives,Caution,Antimicrobial agent used in some acne treatments and cleansers. Effective against bacteria but can disrupt skin microbiome with prolonged use. Can cause contact dermatitis in sensitive individuals.,sensitive,acne fighting
Ascorbyl Palmitate,"Vitamin C Ester, Ascorbic Acid Palmitate",Antioxidant,Safe,Fat-soluble form of Vitamin C. More stable than ascorbic acid. Antioxidant that protects skin from free radical damage. Less potent than pure Vitamin C but gentler and more stable.,none,"antioxidant, brightening"
Idebenone,Hydroxydecyl Ubiquinone,Antioxidant,Safe,Synthetic antioxidant considered more powerful than Vitamin E and CoQ10. Protects against environmental damage and reduces signs of aging. Well tolerated by most skin types.,none,"antioxidant, anti-aging"
Superoxide Dismutase,"SOD, Copper Zinc Superoxide Dismutase",Antioxidant,Safe,Naturally occurring enzyme and powerful antioxidant. Neutralizes free radicals and protects against oxidative stress. Supports skin repair and reduces inflammation.,none,"antioxidant, anti-aging"
